date,close
20010109,-1.871
20010110,-1.315
20010111,-1.739
20010112,1.105
20010115,1.180
20010116,0.577
20010117,0.610
20010118,1.498
20010119,0.827
20010122,0.309
20010123,-0.341
20010124,-0.653
20010125,-0.651
20010126,-0.781
20010129,1.084
20010130,-0.135
20010131,0.122
20010201,-0.463
20010202,-0.552
20010205,-2.349
20010206,-0.868
20010207,0.722
20010208,-1.719
20010209,2.143
20010213,-1.110
20010214,0.070
20010215,0.326
20010216,-1.146
20010219,-0.425
20010220,0.977
20010221,-1.126
20010222,-0.204
20010223,1.312
20010226,-0.339
20010227,-1.076
20010228,-1.359
20010301,-1.579
20010302,-3.367
20010305,0.491
20010306,2.924
20010307,0.285
20010308,-0.578
20010309,-0.179
20010312,-3.682
20010313,-2.932
20010314,0.202
20010315,2.578
20010316,0.657
20010319,-0.344
20010321,7.222
20010322,-1.926
20010323,2.767
20010326,4.786
20010327,-1.629
20010328,0.928
20010329,-5.167
20010330,-0.557
20010402,-0.477
20010403,1.432
20010404,0.897
20010405,1.041
20010406,0.018
20010409,-4.134
20010410,-1.740
20010411,4.301
20010412,1.338
20010413,0.249
20010416,-0.982
20010417,-1.427
20010418,4.304
20010419,1.647
20010420,-0.743
20010423,-0.364
20010424,0.201
20010425,0.612
20010426,1.047
20010427,-0.277
20010501,3.464
20010502,-0.026
20010507,0.745
20010508,-1.668
20010509,-1.439
20010510,-0.477
20010511,0.186
20010514,-1.224
20010515,1.296
20010516,-2.593
20010517,1.568
20010518,-0.237
20010521,2.132
20010522,-0.606
20010523,-0.167
20010524,-1.230
20010525,-0.939
20010528,-0.205
20010529,0.263
20010530,-2.058
20010531,-1.728
20010601,-0.002
20010604,0.380
20010605,-0.984
20010606,-0.054
20010607,0.776
20010608,1.144
20010611,-1.529
20010612,-2.965
20010613,-0.130
20010614,0.181
20010615,-0.439
20010618,-0.727
20010619,-0.978
20010620,0.795
20010621,2.245
20010622,0.632
20010625,-1.142
20010626,0.637
20010627,-1.161
20010628,-1.169
20010629,2.255
20010702,-1.694
20010703,0.518
20010704,-1.481
20010705,-0.172
20010706,-2.418
20010709,-0.541
20010710,0.495
20010711,-2.430
20010712,3.301
20010713,-0.426
20010716,-0.095
20010717,-1.756
20010718,-1.965
20010719,0.133
20010723,-2.541
20010724,2.329
20010725,0.070
20010726,-0.278
20010727,-0.511
20010730,-1.872
20010731,2.402
20010801,0.828
20010802,3.612
20010803,-1.276
20010806,0.016
20010807,0.615
20010808,-1.273
20010809,-3.421
20010810,-0.166
20010813,-2.219
20010814,3.765
20010815,-1.373
20010816,-2.066
20010817,-0.605
20010820,-1.653
20010821,0.199
20010822,1.024
20010823,-2.393
20010824,0.353
20010827,0.969
20010828,-0.762
20010829,-1.891
20010830,-0.377
20010831,-2.078
20010903,-2.877
20010904,3.427
20010905,-1.627
20010906,0.485
20010907,-1.262
20010910,-3.101
20010911,0.949
20010912,-6.864
20010913,0.031
20010914,4.035
20010917,-5.172
20010918,1.829
20010919,2.648
20010920,-1.566
20010921,-2.380
20010925,1.444
20010926,-0.541
20010927,0.567
20010928,0.803
20011001,2.001
20011002,1.634
20011003,-2.117
20011004,2.795
20011005,0.004
20011009,-1.920
20011010,-0.469
20011011,3.763
20011012,2.720
20011015,-1.706
20011016,1.757
20011017,1.100
20011018,-2.644
20011019,0.609
20011023,3.017
20011024,-0.548
20011025,0.719
20011026,-0.784
20011029,-1.708
20011030,-0.942
20011031,-1.403
20011101,-0.184
20011102,0.352
20011105,0.612
20011106,1.766
20011107,-3.335
20011108,1.417
20011109,-2.093
20011112,-1.322
20011113,-0.507
20011114,0.559
20011115,3.919
20011116,1.506
20011119,0.738
20011120,-1.430
20011121,0.805
20011122,0.335
20011126,3.378
20011127,-1.049
20011128,-3.005
20011129,0.293
20011130,0.389
20011203,-3.103
20011204,0.788
20011205,2.468
20011206,1.330
20011207,-0.558
20011210,-2.114
20011211,-0.923
20011212,3.080
20011213,-3.467
20011214,0.747
20011217,-1.808
20011218,1.049
20011219,0.380
20011220,-0.358
20011221,-0.954
20011225,-0.783
20011226,-0.609
20011227,2.567
20011228,0.810
20020104,3.072
20020107,0.650
20020108,-2.281
20020109,-0.296
20020110,-1.184
20020111,-0.923
20020115,-2.262
20020116,-0.299
20020117,-0.487
20020118,1.617
20020121,-0.127
20020122,-2.255
20020123,-0.100
20020124,0.330
20020125,0.693
20020128,0.753
20020129,-1.925
20020130,-1.068
20020131,0.786
20020201,-2.086
20020204,-1.642
20020205,-1.636
20020206,-0.579
20020207,1.709
20020208,1.067
20020212,1.962
20020213,0.911
20020214,1.125
20020215,-0.328
20020218,0.448
20020219,-2.468
20020220,-0.132
20020221,4.584
20020222,0.594
20020225,-0.584
20020226,-0.916
