Date,NK_Open,NK_High,NK_Low,NK_Close,DOW,JPY,UST10,VIX
2001/03/27,13766.9,13829.47,13536.53,13638.33,9687.530273,122.69,4.867,29.04
2001/03/28,13726.48,13867.58,13567.71,13765.51,9947.540039,122.18,5.008,27.04
2001/03/29,13620.07,13620.07,13072.36,13072.36,9785.349609,122.28,4.969,28.58
2001/03/30,13203,13457.9,12992.45,12999.7,9799.05957,123.7,4.996,29.17
2001/04/02,13057.65,13089.47,12781.34,12937.86,9878.780273,126.25,4.915,28.64
2001/04/03,12970.67,13357.96,12970.67,13124.47,9777.929688,126.79,4.973,31.21
2001/04/04,13043.18,13242.78,12874.76,13242.78,9485.709961,125.56,4.922,34.72
2001/04/05,13344.2,13555.46,13323.16,13381.38,9515.419922,125.26,4.926,34.07
2001/04/06,13517.7,13674.58,13284.79,13383.76,9918.049805,124.03,4.977,29.94
2001/04/09,13304.36,13304.36,12841.76,12841.76,9791.089844,123.78,4.89,31.69
2001/04/10,12847.89,12893.85,12579.56,12620.27,9845.150391,125.13,4.926,31.91
2001/04/11,12784.64,13208.65,12724.47,13174.93,10102.74023,124.38,5.082,29.44
2001/04/12,13205.06,13452.6,13126.21,13352.44,10013.46973,124.81,5.125,28.46
2001/04/13,13454.87,13578.64,13291.2,13385.72,10126.94043,123.61,5.177,26.12
2001/04/16,13338.92,13451.02,13217.64,13254.89,10142.75,124.22,5.2155,26.225
2001/04/17,13179.33,13203.61,13019.6,13067.09,10158.55957,124.38,5.254,26.33
2001/04/18,13170.09,13705.86,13170.09,13641.79,10216.73047,123.3,5.215,25.61
2001/04/19,13789.47,14099.49,13789.47,13868.28,10615.83008,122.1,5.144,24.13
2001/04/20,13855.03,13999.58,13686.66,13765.67,10693.70996,120.95,5.297,24.16
2001/04/23,13837.19,14051.97,13639.11,13715.6,10579.84961,122.55,5.294,25.38
2001/04/24,13628.1,13762.95,13403.27,13743.18,10532.23047,121.19,5.176,28.16
2001/04/25,13799.29,13920.67,13769.58,13827.5,10454.33984,122.29,5.211,28.49
2001/04/26,13968.93,14084.55,13957.63,13973.03,10625.2002,122.17,5.258,27.4
2001/04/27,14036.26,14065.48,13795.05,13934.32,10692.34961,123.27,5.184,25.96
2001/05/01,14096.32,14425.46,14096.32,14425.46,10810.04981,124.02,5.324,24.02
2001/05/02,14441.39,14444.84,14296.54,14421.64,10898.33984,122.03,5.285,24.2
2001/05/07,14384.14,14556.11,14184.85,14529.41,10876.67969,121.31,5.289,24.23
2001/05/08,14420.17,14420.17,14227.37,14289.05,10935.16992,121.15,5.191,24.86
2001/05/09,14235.3,14235.3,13957.81,14084.85,10883.50977,121.23,5.246,24.44
2001/05/10,14035.5,14197.09,14015.7,14017.79,10866.98047,122.19,5.168,24.35
2001/05/11,14055.09,14178.32,14043.92,14043.92,10910.44043,122.67,5.289,24
2001/05/14,14041.79,14041.79,13828.7,13873.02,10821.30957,122.52,5.441,23.54
2001/05/15,13829.3,14103.06,13806.05,14054.03,10877.33008,123.32,5.434,24.26
2001/05/16,14050.63,14050.63,13694.27,13694.27,10872.96973,123.38,5.492,23.71
2001/05/17,13845.49,13975.12,13725.25,13910.67,11215.91992,123.55,5.453,21.89
2001/05/18,13931.62,14067.73,13877.77,13877.77,11248.58008,122.52,5.402,21.47
2001/05/21,13938.78,14214.21,13938.78,14176.83,11301.74023,123.52,5.401,21.23
2001/05/22,14271.7,14345.42,14091.19,14091.19,11337.91992,122.64,5.383,20.76
2001/05/23,14012.19,14205.09,13990.32,14067.7,11257.24023,122.88,5.402,21.35
2001/05/24,13914.32,13941.44,13801.46,13895.79,11105.50977,120.18,5.391,22.08
2001/05/25,13869.53,13958.35,13758.66,13765.92,11122.41992,119.94,5.492,20.57
2001/05/28,13732.1,13820.42,13701.83,13737.77,11005.37012,120.65,5.502,20.6
2001/05/29,13697.61,13836.4,13697.61,13773.89,11022.25488,121.09,5.511,21.37
2001/05/30,13680.77,13680.77,13468.73,13493.35,11039.13965,120.19,5.52,22.14
2001/05/31,13394.75,13419.94,13216.57,13262.14,10872.63965,120.33,5.508,22.76
2001/06/01,13365.08,13394.4,13244.9,13261.84,10911.94043,119.2,5.383,22.64
2001/06/04,13294.21,13312.35,13213.65,13312.35,10990.41016,119.29,5.375,21.59
2001/06/05,13232.52,13256.4,12984.07,13182,11061.51953,119.29,5.34,21.38
2001/06/06,13289.59,13313.14,13127.62,13174.84,11175.83984,120.25,5.273,19.58
2001/06/07,13122.58,13300.5,13050.17,13277.51,11070.24023,120.19,5.262,20.39
2001/06/08,13324.25,13510.7,13320.37,13430.22,11090.74023,120.18,5.324,19.67
2001/06/11,13413.1,13447.39,13224.99,13226.48,10977,120.97,5.367,19.92
2001/06/12,13111.64,13164.19,12840.1,12840.1,10922.08984,121.91,5.285,20.7
2001/06/13,12883.51,12970.12,12803.42,12823.45,10948.37988,121.65,5.25,20.7
2001/06/14,12826.18,12935.07,12804.03,12846.66,10871.62012,122.1,5.27,21.45
2001/06/15,12722.38,12797.87,12578.78,12790.38,10690.12988,121.32,5.23,23.12
2001/06/18,12766.38,12787.23,12656.58,12697.79,10623.63965,122.92,5.243,22.81
2001/06/19,12734.13,12912.92,12511.66,12574.26,10645.37988,123.28,5.258,23.17
2001/06/20,12575.35,12762.09,12512.13,12674.64,10596.66992,122.81,5.238,22.34
2001/06/21,12776.76,13005.46,12727.55,12962.43,10647.33008,123.79,5.211,21.71
2001/06/22,13041.89,13079.11,12940.58,13044.61,10715.42969,124.63,5.176,19.38
2001/06/25,13052.96,13073.49,12823.45,12896.47,10604.58984,124.47,5.124,20.02
2001/06/26,12856.15,13026.8,12837.8,12978.82,10504.21973,123.85,5.125,20.67
2001/06/27,12936.52,12987.85,12828.98,12828.98,10472.48047,123.81,5.223,21.2
2001/06/28,12853.65,12876.56,12567.26,12679.88,10434.83984,124.36,5.242,20.88
2001/06/29,12843.95,12985.21,12819.46,12969.05,10566.20996,124.68,5.34,20.01
2001/07/02,12929.66,12929.66,12629.51,12751.18,10502.40039,124.72,5.348,19.06
2001/07/03,12855.5,12922.15,12747.05,12817.41,10593.71973,124.12,5.325,18.76
2001/07/04,12801.46,12801.46,12584.99,12629.02,10571.11035,124.41,5.38,18.92
2001/07/05,12563.44,12676.83,12515.51,12607.3,10525.48535,124.51,5.392,19.505
2001/07/06,12499.3,12499.3,12289.61,12306.08,10479.86035,125.71,5.404,20.09
2001/07/09,12191.31,12239.68,12029.2,12239.68,10252.67969,125.88,5.34,21.63
2001/07/10,12247.94,12382.29,12143.94,12300.41,10299.40039,125.28,5.333,22.48
2001/07/11,12178.25,12178.25,12005.11,12005.11,10175.63965,125.32,5.272,23.25
2001/07/12,12133.05,12407.95,12133.05,12407.95,10241.01953,124.36,5.291,24.01
2001/07/13,12417.56,12444.56,12294.04,12355.15,10478.99023,123.79,5.243,22.09
2001/07/16,12408.39,12408.39,12263.45,12343.37,10539.05957,124.96,5.228,21.14
2001/07/17,12215.47,12224.71,12102.94,12128.57,10472.12012,125.51,5.173,22.91
2001/07/18,12121.41,12135.31,11847.73,11892.58,10606.38965,124.87,5.209,22.61
2001/07/19,11898.11,11980.25,11863.12,11908.39,10569.83008,123.96,5.089,23.6
2001/07/23,11902.23,11902.23,11531.68,11609.63,10610,123.31,5.11,22.51
2001/07/24,11608.86,11883.25,11562.38,11883.25,10424.41992,124.45,5.104,23.74
2001/07/25,11823.1,12054.3,11760.97,11891.61,10241.12012,124.05,5.114,25.24
2001/07/26,11914.34,11962.73,11822.77,11858.56,10405.66992,123.59,5.188,24
2001/07/27,11862.41,11948.2,11706.47,11798.08,10455.62988,123.73,5.134,23.01
2001/07/30,11846,11868.14,11539.16,11579.27,10416.66992,123.51,5.096,22
2001/07/31,11656.65,11877.84,11656.65,11860.77,10401.71973,125.16,5.074,22.69
2001/08/01,11920.64,11972.25,11817.76,11959.33,10522.80957,125.06,5.055,21.62
2001/08/02,12072.11,12407.37,12060.5,12399.2,10510.00977,124.63,5.072,20.56
2001/08/03,12336.51,12365.88,12241.27,12241.97,10551.17969,123.69,5.146,20.09
2001/08/06,12170.11,12327.23,12095.11,12243.9,10512.78027,123.68,5.164,19.89
2001/08/07,12154.72,12388.61,12079.55,12319.46,10401.30957,123.9,5.157,21.89
2001/08/08,12265.24,12293.39,12129.37,12163.67,10458.74023,123.63,5.172,21.01
2001/08/09,12036.99,12043.05,11754.56,11754.56,10293.5,123.62,5.05,22.32
2001/08/10,11683.22,11870.91,11683.22,11735.06,10298.55957,121.79,5.035,21.75
2001/08/13,11697.12,11697.12,11417.7,11477.56,10416.25,122.02,4.984,20.55
2001/08/14,11587.04,11936.75,11587.04,11917.95,10415.91016,122.49,4.972,20.42
2001/08/15,11812,11823.92,11648.86,11755.4,10412.16992,121.77,4.972,20.48
2001/08/16,11645.3,11645.3,11450.77,11515.02,10345.9502,119.6,5.004,20.91
2001/08/17,11537.69,11581.25,11412.36,11445.54,10392.51953,120.38,4.941,21.54
2001/08/20,11347.24,11358.09,11239.45,11257.94,10240.78027,120.26,4.841,23.84
2001/08/21,11317.13,11370.61,11159.27,11280.38,10320.07031,120.75,4.909,22.87
2001/08/22,11220.25,11504.06,11202.67,11396.43,10174.13965,119.56,4.87,24.4
2001/08/23,11414.99,11414.99,11104.18,11126.92,10276.90039,120.41,4.902,22.44
2001/08/24,11190.54,11230.14,11075.42,11166.31,10229.15039,119.88,4.884,22.23
2001/08/27,11273.96,11366.18,11273.96,11275.01,10423.16992,120.04,4.928,19.71
2001/08/28,11255.68,11267.95,11049.86,11189.4,10382.34961,119.9,4.928,20.56
2001/08/29,11087.15,11142.31,10973.27,10979.76,10222.03027,120.06,4.844,22
2001/08/30,10918.54,10969.06,10807.75,10938.45,10090.90039,120.17,4.766,23.03
2001/08/31,10811.37,10860.7,10684.16,10713.51,9919.580078,119.4,4.812,25.41
2001/09/03,10729.6,10758.9,10409.68,10409.68,9949.75,118.78,4.84,24.92
2001/09/04,10413.71,10772.59,10325.83,10772.59,9973.620117,118.77,4.899,25.385
2001/09/05,10679.53,10679.53,10452.98,10598.79,9997.490234,119.27,4.958,25.85
2001/09/06,10575.26,10812.89,10509.68,10650.33,10033.26953,120.66,4.963,26.35
2001/09/07,10541.86,10566.65,10405.8,10516.79,9840.839844,120.87,4.871,28.61
2001/09/10,10395.1,10457.09,10195.69,10195.69,9605.849609,120.05,4.788,30.99
2001/09/11,10244.55,10344.58,10207.03,10292.95,9605.509766,121.03,4.842,31.84
2001/09/12,10140.42,10140.42,9600.84,9610.1,9468.547852,119.22,4.762,33.824
2001/09/13,9663.93,9682.63,9476.87,9613.09,9331.585938,119.52,4.6985,35.808
2001/09/14,9625.26,10009.45,9580.34,10008.89,9194.624023,118.9,4.635,37.792
2001/09/17,9881.06,9881.06,9447.76,9504.41,9057.662109,117.38,4.56,39.776
2001/09/18,9623.98,9945.8,9623.98,9679.88,8920.700195,117.88,4.622,41.76
2001/09/19,9682.52,10061.1,9681.79,9939.6,8903.400391,117.27,4.723,38.87
2001/09/20,9837.17,9842.16,9688.12,9785.16,8759.129883,117.61,4.695,40.56
2001/09/21,9658.19,9658.19,9382.95,9554.99,8376.209961,116.28,4.742,43.74
2001/09/25,9637.6,9867.86,9593.07,9693.97,8235.80957,116.6,4.691,42.66
2001/09/26,9687.51,9697.12,9551.73,9641.7,8659.969727,117.51,4.707,35.81
2001/09/27,9601.07,9727.3,9585.81,9696.53,8567.389648,117.73,4.633,35.26
2001/09/28,9783.8,9933.69,9737.42,9774.68,8681.419922,119.72,4.559,34
2001/10/01,9766.75,9972.28,9604.09,9972.28,8847.55957,119.56,4.59,31.93
2001/10/02,9937.81,10136.56,9871.94,10136.56,8836.830078,120.19,4.539,32.32
2001/10/03,10194.73,10221.82,9924.23,9924.23,8950.589844,120.77,4.508,31.18
2001/10/04,10038.61,10215.89,10038.61,10205.48,9123.780273,120.63,4.469,31.34
2001/10/05,10165.45,10261.86,10039.51,10205.87,9060.879883,120.47,4.504,31.97
2001/10/09,10143.39,10143.39,10011.77,10011.77,9119.769531,120.53,4.508,33.39
2001/10/10,9995.43,10030.22,9934,9964.88,9052.44043,120.11,4.594,34.83
2001/10/11,10074.51,10347.01,10052.08,10347.01,9240.860352,120.38,4.602,31.6
2001/10/12,10474.35,10632.35,10421.57,10632.35,9410.450195,121.4,4.664,31.5
2001/10/15,10545.25,10545.25,10447.99,10452.54,9344.160156,121.13,4.675,35.27
2001/10/16,10433.9,10694.06,10412.25,10637.82,9347.620117,120.82,4.602,35.31
2001/10/17,10672,10790.03,10563.52,10755.45,9384.230469,121.28,4.562,32.88
2001/10/18,10654.53,10668.69,10474.85,10474.85,9232.969727,121.25,4.566,35.08
2001/10/19,10472.44,10595.97,10437.8,10538.79,9163.219727,121.1,4.574,34.95
2001/10/23,10685.35,10861.56,10649.59,10861.56,9204.110352,121.22,4.62,34.11
2001/10/24,10811.68,10960.91,10771.63,10802.15,9340.080078,122.56,4.648,32
2001/10/25,10847.1,11052.01,10838.6,10880.1,9345.620117,122.79,4.596,30.95
2001/10/26,10951.88,11020.5,10774.29,10795.16,9462.900391,122.88,4.547,29.46
2001/10/29,10779.19,10798.08,10612.31,10612.31,9545.169922,122.7,4.521,28.42
2001/10/30,10522.82,10538.79,10416.44,10512.82,9269.5,121.96,4.484,31.64
2001/10/31,10443.65,10478.51,10366.34,10366.34,9121.980469,121.97,4.414,33.46
2001/11/01,10430.59,10498.39,10318.17,10347.28,9075.139648,122.41,4.242,33.56
2001/11/02,10460.61,10538.45,10322.28,10383.78,9263.900391,122,4.234,32.31
2001/11/05,10427.35,10447.54,10345.28,10447.54,9323.540039,121.7,4.354,30.71
2001/11/06,10518.02,10633.72,10494.89,10633.72,9441.030273,121.74,4.311,30.5
2001/11/07,10607.35,10632.49,10284.98,10284.98,9591.120117,121.18,4.263,28.8
2001/11/08,10345.49,10431.79,10269.97,10431.79,9554.370117,120.92,4.187,29.13
2001/11/09,10412.62,10412.62,10213.01,10215.71,9587.519531,120.14,4.29,28.62
2001/11/12,10225.59,10260.7,10081.56,10081.56,9608,120.39,4.311,27.44
2001/11/13,10035.65,10057.74,9955.09,10030.56,9554.370117,120.44,4.346,29.35
2001/11/14,10120.16,10231.16,10076.59,10086.76,9750.950195,121.67,4.381,26.47
2001/11/15,10159.38,10489.89,10142.42,10489.89,9823.610352,121.58,4.528,26.56
2001/11/16,10488.7,10850.48,10454.2,10649.09,9872.389648,122.31,4.784,25.56
2001/11/19,10643.33,10849.19,10618.69,10727.94,9866.990234,122.93,4.848,25.07
2001/11/20,10779.58,10779.58,10555.44,10575.62,9976.459961,123.27,4.804,24.46
2001/11/21,10530.29,10789.18,10490.6,10661.08,9901.379883,122.58,4.865,24.12
2001/11/22,10617.44,10702.34,10529.21,10696.82,9834.679688,123.11,4.962,24.19
2001/11/26,10797.12,11067.92,10797.12,11064.3,9908.714844,123.96,4.989,23.99
2001/11/27,11012.85,11186.75,10948.89,10948.89,9982.75,124.08,5.016,23.79
2001/11/28,10862.24,10900.31,10624.81,10624.81,9872.599609,123.94,4.926,24
2001/11/29,10607.45,10668.73,10512.66,10655.96,9711.860352,123.12,4.936,25.9
2001/11/30,10659.87,10697.9,10550.66,10697.44,9829.419922,123.87,4.765,25.18
2001/12/03,10694.65,10695.04,10370.62,10370.62,9851.55957,123.41,4.754,23.84
2001/12/04,10414.94,10478.47,10326.52,10452.65,9763.959961,124.1,4.691,25.77
2001/12/05,10549.39,10724.64,10523.22,10713.81,9893.839844,124.24,4.667,24.08
2001/12/06,10830.86,11052.51,10813.79,10857.28,10114.29004,124.15,4.904,23.02
2001/12/07,10833.3,10918.19,10762.97,10796.89,10099.13965,124.72,5.011,23.71
2001/12/10,10736.12,10738.39,10571.01,10571.01,10049.45996,125.54,5.165,23.49
2001/12/11,10523.86,10606.92,10467.61,10473.91,9921.450195,126.04,5.104,25.62
2001/12/12,10490.07,10821.13,10490.07,10801.52,9888.370117,126.09,5.058,25.3
2001/12/13,10721.61,10731.81,10433.45,10433.45,9894.80957,125.97,5.01,24.87
2001/12/14,10465.23,10603.71,10379.59,10511.65,9766.450195,126.08,5.074,25.91
2001/12/17,10482.4,10484.38,10302.97,10323.35,9811.150391,127.36,5.19,24.63
2001/12/18,10422.16,10582.07,10330.58,10432.17,9891.969727,127.56,5.184,24.26
2001/12/19,10393.04,10500.44,10347.18,10471.93,9998.389648,127.74,5.129,23.29
2001/12/20,10485.8,10501.98,10346.4,10434.52,10070.49023,128.01,5.042,22.58
2001/12/21,10394.73,10418.59,10253.72,10335.45,9985.179688,128.53,5.036,23.67
2001/12/25,10359.22,10359.22,10178.87,10254.81,10035.33984,129.51,5.086,22.5
2001/12/26,10273.05,10300.63,10170.9,10192.57,10061.73975,130.84,5.143,22.395
2001/12/27,10213.32,10457.61,10176.31,10457.61,10088.13965,130.82,5.2,22.29
2001/12/28,10498.8,10571.75,10427.62,10542.62,10131.30957,131.67,5.072,21.59
2002/01/04,10631,10871.49,10617.08,10871.49,10136.99023,131.11,5.113,21.4
2002/01/07,10803.45,10979.92,10803.45,10942.36,10259.74023,130.92,5.125,20.45
2002/01/08,10841.97,10843.26,10662.25,10695.6,10197.04981,130.99,5.049,21.94
2002/01/09,10661.25,10747.6,10638.43,10663.98,10150.54981,132.69,5.083,21.83
2002/01/10,10652.17,10710.48,10494.35,10538.43,10094.08984,132.87,5.048,22.13
2002/01/11,10536.25,10571.5,10441.59,10441.59,10067.86035,132.64,4.975,22.36
2002/01/15,10359.44,10359.44,10208.05,10208.05,9987.530273,132.08,4.876,22.6
2002/01/16,10172.16,10269.03,10096.34,10177.58,9924.150391,131.28,4.845,22.7
2002/01/17,10184.95,10257.45,10074.45,10128.18,9712.269531,131.88,4.841,23.45
2002/01/18,10165.16,10296.79,10151.43,10293.32,9850.040039,132.57,4.931,22.25
2002/01/21,10252.43,10393.56,10169.8,10280.25,9771.849609,132.55,4.893,22.52
2002/01/22,10225.52,10280.3,10050.98,10050.98,9742.824707,132.59,4.906,23.065
2002/01/23,10063.92,10154.82,10040.91,10040.91,9713.799805,133.88,4.919,23.61
2002/01/24,10089.25,10240.39,10012.8,10074.05,9730.959961,134.43,5.028,21.88
2002/01/25,10133.59,10149.87,10017.48,10144.14,9796.070313,134.77,5.005,21.15
2002/01/28,10190.28,10303.74,10156.19,10220.85,9840.080078,134.37,5.069,21.01
2002/01/29,10191.75,10191.75,10026.03,10026.03,9865.75,133.55,5.075,21.14
2002/01/30,9921.73,9938.33,9843.12,9919.48,9618.240234,133.31,4.94,24.35
2002/01/31,9962.35,10012.15,9896.84,9997.8,9762.860352,132.87,5.013,23.22
2002/02/01,10026.96,10032.25,9735.05,9791.43,9920,134.59,5.046,21.09
2002/02/04,9808.82,9808.82,9623.99,9631.93,9907.259766,133.07,4.984,21.12
2002/02/05,9577.17,9683.93,9473.46,9475.6,9687.089844,132.34,4.907,24.87
2002/02/06,9494.62,9602.52,9420.85,9420.85,9685.429688,133.92,4.896,25.45
2002/02/07,9481.09,9634.79,9458.7,9583.27,9653.389648,133.73,4.927,26.09
2002/02/08,9564.75,9753.75,9538.45,9686.06,9625.44043,133.68,4.938,25.11
2002/02/12,9816.96,9949.73,9816.96,9877.99,9744.240234,134.64,4.881,23.26
2002/02/13,9901.89,10039.25,9865.75,9968.35,9863.740234,132.71,4.978,21.62
2002/02/14,10014.18,10235.38,10014.18,10081.09,9989.669922,133.38,4.992,20.85
2002/02/15,10098.23,10152,10025.55,10048.1,10001.99023,132.1,4.946,21.77
2002/02/18,10021.55,10119.21,9980.89,10093.25,9903.040039,132.61,4.863,22.37
2002/02/19,10113.69,10129.34,9847.16,9847.16,9824.089844,132.69,4.867,23.4
2002/02/20,9783.16,9901.24,9773.95,9834.13,9745.139648,133.63,4.871,24.43
2002/02/21,9913.85,10295.42,9895.45,10295.42,9941.169922,133.74,4.891,22.66
2002/02/22,10219.85,10418.64,10165.72,10356.78,9834.679688,134.19,4.859,23.8
2002/02/25,10394.73,10446.28,10289.83,10296.47,9968.150391,134.01,4.835,22.86
2002/02/26,10405.46,10458.87,10183.52,10202.63,10145.70996,133.81,4.853,21.84
2002/02/27,10268.87,10573.09,10268.87,10573.09,10115.25977,134.59,4.931,21.68
2002/02/28,10634.93,10798.67,10587.83,10587.83,10127.58008,134.34,4.833,21.49
2002/03/01,10641.36,10813.45,10540.31,10812,10106.12988,133.67,4.874,21.59
2002/03/04,10942.5,11450.22,10941.36,11450.22,10368.86035,133.4,4.984,19.96
2002/03/05,11529.21,11602.75,11348.45,11348.45,10586.82031,132.16,4.999,20.5
2002/03/06,11375.87,11648.38,11358.53,11358.53,10433.41016,132.17,5.005,20.3
2002/03/07,11473.63,11690.36,11472.88,11648.34,10574.29004,130.67,5.052,19.94
2002/03/08,11710.2,12010.25,11634.31,11885.79,10525.37012,127.13,5.229,20.04
2002/03/11,11941.92,12034.04,11772.86,11919.3,10572.49023,128.52,5.325,19.27
2002/03/12,11863.71,11912.29,11607.33,11607.33,10611.24023,128.37,5.321,19.84
2002/03/13,11548.24,11774.18,11415.31,11415.31,10632.34961,128.95,5.311,19.59
2002/03/14,11471.83,11568.82,11347.25,11568.82,10501.84961,129.51,5.279,19.46
2002/03/15,11594.87,11709.44,11537.89,11648.01,10517.13965,129.22,5.41,19.2
2002/03/18,11745.81,11789.46,11477.68,11498.38,10607.23047,129.19,5.333,18.42
2002/03/19,11597.86,11792.82,11597.86,11792.82,10577.75,131.36,5.301,18.93
2002/03/20,11833.97,11833.97,11503.79,11526.78,10635.25,131.99,5.289,18.16
2002/03/22,11460.95,11519.68,11326.22,11345.08,10501.57031,131.43,5.406,18.46
2002/03/25,11339.06,11378.78,11166.92,11261.09,10427.66992,132.86,5.403,17.77
2002/03/26,11214.25,11524.23,11165,11207.92,10281.66992,133.4,5.407,18.48
2002/03/27,11251.7,11421.01,11190.39,11323.68,10353.36035,133.04,5.343,18.13
2002/03/28,11313.56,11348.22,11240.99,11333.11,10426.91016,132.74,5.344,17.7
2002/03/29,11350.35,11389.6,11024.94,11024.94,10403.94043,132.66,5.406,17.4
2002/04/01,11106.07,11148.5,11007.63,11028.7,10383.32031,132.78,5.416,18.065
2002/04/02,11142.83,11217.24,11049.85,11204.49,10362.7002,133.43,5.426,18.73
2002/04/03,11103.72,11476.94,11042.25,11400.71,10313.70996,133.35,5.342,19.16
2002/04/04,11430.25,11537.13,11336.2,11379.2,10198.29004,132.79,5.28,20.2
2002/04/05,11366.4,11412.99,11301.95,11335.49,10235.16992,132.36,5.26,19.78
2002/04/08,11321.28,11430.03,11265.18,11352.89,10271.63965,131.69,5.207,19.13
2002/04/09,11337.49,11363.2,11113.08,11114.49,10249.08008,131.6,5.263,19.61
2002/04/10,11089.13,11293.17,11052.7,11218.58,10208.66992,130.91,5.203,19.47
